Brawl,全力以赴！达到一定数量的杀敌数以获胜。
AttackersCapturePrimaryObjects,攻击者！在计时器用完之前捕获所有主要目标。协调攻击并使用火炮突破防御。 “孤独的希望”造成的生命损失是必要的牺牲。
InvadersCaptureEnemyFortification,入侵者！捕获对立阵营的防御工事。在海军陆战队员和船员登陆岸之前，充分利用火箭和大炮突破防御阵地。
ControlAndConquer,控制和征服！保卫和捕捉地图周围的目标以取得胜利。
DefendersPreventAssaultingForces,防御者们！阻止进攻部队占领你们的主要目标。你们需要在有限的增援下存活下去直到回合时间耗尽。充分利用好掩体。
DefendersPreventInvadingForces,捍卫者！防止入侵部队捕获你的沿海防御工事。你的增援是有限的。操纵堡垒的枪支，防止入侵者入侵。
EveryoneIsYourEnemy,每个人都是你的敌人。 这也包括来自同一阵营的玩家。
GatherTickets,收集门票！控制比敌人收集门票更多的目标。这是赢得比赛的关键。
LastStand,坚持！这是你在无增援的情况下最后扭转乾坤的机会。
LimitedReinforcements,有限的增援！务必制定策略并进行协调。如果它们耗尽，你将无法再生成。
PlayTogetherCoordinateAssaults,一起玩！协调攻击和制定战略。除非你的团队数量更多，否则目标不能被捕获。
SailWithTheWind,顺风而行！ 小地图上的箭头的方向标明了风来的方向。 转向到对你有利的潮流。
RaiseSailsAndLowerThem,启航！按[{0}]升高风帆，按[{1}]降低风速。
SingleLife,单身生活！如果你遇到了你的结局，你将不得不等待一轮完成才能重生。一定要好好利用它。
SinkEnemyShips,击沉敌船！充分用好链弹和实心弹来击沉敌方船只。和你的船员伙伴们一起努力实现这个目标。
SpawningInWaves,出生会以一波形式进行。利用其当作集合和组织队伍的机会。
Spyglass,使用望远镜来辨明敌友。所有的海军船只都悬挂着它们所属阵营的旗帜。
MeleeCombat,在近战竞技场中最好的对手！制定战略并罢工。阻挡是赢得比赛的关键。
Rowboats,一旦沉没，船舶不会重生！如果您的船只通往海底，请使用划艇登船和船员联盟船只。
