AncientPlains,古老的平原
ArcticSea,北冰洋
ArendanRiver,阿伦丹河
BalamorBay,巴拉莫湾
BlackForest,黑森林
CampSalamanca,萨拉曼卡营地
Canyon,峡谷
Caribbean,加勒比海
CastleArena,城堡竞技场
Causeways,堤道
ColonialTown,殖民小镇
CrossHills,克洛斯山岭
DesertPlains,沙漠平原
DesertPlainsSmall,沙漠平原
DesertRuins,沙漠废墟
DutchCanals,荷兰运河
Egypt,塔希尔沙漠
ErnestRidge,欧内斯特岭
FortArena,堡垒竞技场
FortChristiana,克里斯蒂娜要塞
FortNational,帝国要塞
FortPierre,皮埃尔堡
FortSalettes,堡垒
FortSchwarz,施瓦茨堡
FortWinston,堡垒温斯顿
GarrisonArena,驻军竞技场
GrassyPlains,草地平原1（l）
GrassyPlainsII,草地平原2（l）
GrassyPlainsIII,草地平原3（l）
HaroutiIslands,哈罗蒂群岛
Highlands,高地
KingGeorge,乔治国王
LighthouseIslands,灯塔岛
Linburg,Linburg
MartelloTower,圆形石堡
Matanzas,马塔坦斯要塞
PalisadeArena,栅栏竞技场
RandomWaters,开放水域
SacredArena,神圣的竞技场
SanMarcos,圣马科斯
Sharpton,夏普敦
SnowyPlains,雪原1（l）
SnowyPlainsII,雪原2（l）
SnowyPlainsIII,雪原3（l）
SnowyPlainsIV,雪原4（l）
SnowyPlainsSmall,雪原（s）
SnowyPlainsV,雪原5（l）
SouthSeaCastle,南海城堡
SpanishFarm,西班牙农场
TestLevel,在测试中
TestLevelII,在测试中
TestLevelIII,在测试中
TrainingGrounds,训练场
WatchtowerArena,了望塔竞技场
TestLevelIV,在测试中
CustomMap,自定义地图
